"label","est","se","pvalue","confint","est_sig","est_std","se_std","pvalue_std","est_sig_std","confint_std"
"Variances.perceived_threat:sense_of_control","33.40","","","[33.40, 33.40]","33.40",1,"","","1.00","[1.00, 1.00]"
"Means.perceived_risk","-0.00","0.01","0.68","[-0.02, 0.01]","-0.00",-0.00519794626065311,"0.01","0.68","-0.01","[-0.03, 0.02]"
"Means.perceived_threat","0.01","0.01","0.33","[-0.01, 0.04]","0.01",0.0116235935228022,"0.01","0.33","0.01","[-0.01, 0.03]"
"Means.social_isolation","0.05","0.01","0.00","[0.02, 0.08]","0.05***",0.0483363372653112,"0.01","0.00","0.05***","[0.02, 0.07]"
"Means.sense_of_control","-0.16","0.06","0.01","[-0.28, -0.03]","-0.16*",-0.0330431246927824,"0.01","0.01","-0.03*","[-0.06, -0.01]"
"Means.depression","-0.01","0.01","0.04","[-0.02, -0.00]","-0.01*",-0.0216483838522999,"0.01","0.04","-0.02*","[-0.04, -0.00]"
"Means.anxiety","-0.01","0.01","0.41","[-0.02, 0.01]","-0.01",-0.00850095815195871,"0.01","0.41","-0.01","[-0.03, 0.01]"
"Means.local_diagnoses","0.02","","","[0.02, 0.02]","0.02",0.0558515989326406,"","","0.06","[0.06, 0.06]"
"Means.income","0.04","","","[0.04, 0.04]","0.04",0.0328576399624617,"","","0.03","[0.03, 0.03]"
"Means.social_actions","0.03","","","[0.03, 0.03]","0.03",0.0311477489143687,"","","0.03","[0.03, 0.03]"
"Means.days_isolation","-0.03","","","[-0.03, -0.03]","-0.03",-0.00331531678175968,"","","-0.00","[-0.00, -0.00]"
"Means.days2","90.17","","","[90.17, 90.17]","90.17",0.321919122453501,"","","0.32","[0.32, 0.32]"
"Means.perceived_threat:social_isolation","0.25","","","[0.25, 0.25]","0.25",0.184695051581974,"","","0.18","[0.18, 0.18]"
"Means.perceived_threat:sense_of_control","-1.24","","","[-1.24, -1.24]","-1.24",-0.214677285119277,"","","-0.21","[-0.21, -0.21]"
